ml_name,side_effects,db_name
Treprostinil,"['headache', 'diarrhea', 'nausea', 'vomiting', 'flushing', 'jaw pain', 'pain in arms', 'pain in legs', 'stomach pain']",Treprostinil palmitil
Deuruxolitinib,"['acne', 'weight gain', 'headache', 'runny nose', 'sneezing', 'sore throat', 'congestion', 'stomach pain', 'fever', 'chills', 'nausea', 'vomiting', 'shortness of breath', 'tiredness', 'weakness', 'pale skin']",Deuruxolitinib
Butabarbital,"['drowsiness', 'difficulty falling asleep', 'difficulty staying asleep', 'nightmares', 'headache', 'dizziness', 'depression', 'nervousness', 'agitation', 'excitement', 'confusion', 'restlessness', 'nausea', 'vomiting', 'constipation', 'hallucinating', 'slow breathing', 'shallow breathing', 'slow heartbeat', 'fainting', 'hives', 'rash', 'itching', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips ', 'swelling of the eyes', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'difficulty breathing', 'difficulty swallowing', 'hoarseness']",Butabarbital
Benzphetamine,"['nausea', 'diarrhea', 'dry mouth', 'unpleasant taste', 'changes in sex drive', 'changes in sex ability', 'restlessness', 'abnormally excited mood', 'falling asleep', 'staying asleep', 'dizziness', 'sweating', 'headache', 'uncontrollable shaking of part of the body', 'shortness of breath', 'chest pain', 'fainting', 'swelling of the legs', 'swelling of the ankles', 'swelling of the feet', 'fast heartbeat', 'pounding heartbeat', 'irregular heartbeat', 'rash', 'hives', 'itching', 'believing things that are not true', 'feeling unusually suspicious of others', 'hallucinating']",Benzphetamine
Dicyclomine,"['dry mouth', 'upset stomach', 'vomiting', 'constipation', 'stomach pain', 'gas', 'bloating', 'loss of appetite', 'dizziness', 'tingling', 'headache', 'drowsiness', 'weakness', 'blurred vision', 'double vision', 'difficulty urinating', 'hot skin', 'flushed skin', 'dry skin', 'confusion', 'forgetfulness', 'seeing things that do not exist', 'hearing voices that do not exist', 'unsteadiness', 'coma', 'anxiety', 'excessive tiredness', 'difficulty falling asleep', 'difficulty staying asleep', 'excitement', 'inappropriate mood', 'muscle weakness', 'rapid heartbeat', 'pounding heartbeat', 'fainting', 'hives', 'skin rash', 'itching', 'difficulty breathing', 'difficulty swallowing']",Dicyclomine
Moexipril,"['cough', 'dizziness', 'lightheadedness', 'sore throat', 'hoarseness', 'excessive tiredness', 'headache', 'diarrhea', 'vomiting', 'fever', 'muscle aches', 'fast heartbeat', 'swelling of the face', 'swelling of the eyes', 'swelling of the lips', 'swelling of the tongue', 'swelling of the arms', 'swelling of the legs', 'difficulty breathing', 'difficulty swallowing', 'fainting', 'rash']",Moexipril
Exemestane,"['hot flushes', 'sweating', 'muscle pain', 'joint pain', 'tiredness', 'headache', 'dizziness', 'feeling worried', 'feeling anxious', 'depression', 'difficulty falling asleep', 'difficulty staying asleep', 'nausea', 'vomiting', 'increased appetite', 'diarrhea', 'hair loss', 'red skin', 'itchy skin', 'changes in vision', 'swelling of the arms', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'shortness of breath', 'chest pain']",Exemestane
Tizanidine,"['dizziness', 'drowsiness', 'unusual tiredness', 'weakness', 'nervousness', 'vomiting', 'dry mouth', 'constipation', 'nausea', 'extreme tiredness', 'lack of energy', 'loss of appetite', 'unusual bleeding', 'unusual bruising', 'pain in the upper right part of the stomach', 'yellowing of the skin', 'yellowing of the eyes', 'flu-like symptoms', 'rash', 'hives', 'itching', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'shortness of breath', 'difficulty breathing', 'difficulty swallowing', 'seeing things that do not exist', 'hearing voices that do not exist', 'slow heartbeat', 'changes in vision']",Tizanidine
Captopril,"['dizziness', 'lightheadedness', 'salty taste', 'metallic taste', 'decreased ability to taste', 'cough', 'fast heartbeat', 'excessive tiredness', 'chest pain', 'swelling of the face', 'swelling of the eyes', 'swelling of the lips', 'swelling of the tongue', 'swelling of the arms', 'swelling of the legs', 'hives', 'hoarseness', 'difficulty breathing', 'difficulty swallowing', 'stomach pain', 'fainting', 'rash', 'itching', 'mouth sores', 'fever', 'sore throat', 'chills', 'signs of infection']",Captopril
Olaparib,"['diarrhea', 'constipation', 'heartburn', 'headache', 'decreased appetite', 'muscle pain', 'joint pain', 'back pain', 'fatigue', 'dizziness', 'stomach pain', 'stomach discomfort', 'taste changes', 'mouth pain', 'mouth sores', 'rash', 'shortness of breath', 'new or worsening cough', 'difficulty breathing', 'wheezing', 'fever', 'weakness', 'extreme tiredness', 'weight loss', 'unusual bruising', 'unusual bleeding', 'pale skin', 'blood in urine', 'blood in stool', 'fever', 'chills', 'cough', 'sore throat', 'difficulty urinating', 'pain when urinating', 'signs of infection', 'pain in one leg', 'tenderness in one leg', 'redness in one leg', 'swelling in one leg', 'chest pain', 'chest tightness', 'shortness of breath', 'coughing up blood', 'fast heartbeat', 'pounding heartbeat', 'rapid breathing']",Olaparib
Clonidine,"['dry mouth', 'tiredness', 'weakness', 'headache', 'nervousness', 'decreased sexual ability', 'nausea', 'vomiting', 'constipation', 'rash', 'hives', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'difficulty swallowing', 'difficulty breathing', 'hoarseness', 'fainting', 'fast heartbeat', 'irregular heartbeat']",Clonidine
Trifluoperazine,"['dizziness', 'feeling unsteady', 'trouble keeping your balance', 'blurred vision', 'dry mouth', 'difficulty urinating', 'agitation', 'jitteriness', 'difficulty falling asleep', 'difficulty staying asleep', 'unusual movements of any part of the body', 'slowed movements of any part of the body', 'uncontrollable movements of any part of the body', 'weakness', 'breast enlargement', 'breast milk production', 'missed menstrual periods', 'decreased sexual ability in men', 'fever', 'stiff muscles', 'sweating', 'confusion', 'fast heartbeat', 'pounding heartbeat', 'irregular heartbeat', 'falling down', 'yellowing of the skin', 'yellowing of the eyes', 'sore throat', 'chills', 'signs of infection', 'neck cramps','tightness in the throat', 'uncontrollable rhythmic face movements', 'uncontrollable rhythmic mouth movements', 'uncontrollable rhythmic jaw movements', 'uncontrollable rhythmic body movements', 'uncontrollable rhythmic arm movements', 'uncontrollable rhythmic leg movements', 'seizures', 'rash', 'hives', 'itching', 'blisters', 'difficulty breathing', 'difficulty swallowing', 'swelling of the eyes', 'swelling of the face', 'swelling of the mouth', 'swelling of the lips', 'swelling of the tongue', 'swelling of the throat', 'swelling of the arms', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'erection that lasts for hours', 'changes in vision']",Trifluoperazine
Rucaparib,"['nausea', 'vomiting', 'diarrhea', 'constipation', 'stomach pain', 'loss of appetite', 'bad taste in the mouth', 'mouth sores', 'weakness', 'tiredness', 'fever', 'weight loss', 'easy bruising', 'easy bleeding', 'blood in urine', 'blood in stool', 'pale skin', 'shortness of breath', 'rash']",Rucaparib
Doravirine,"['headache', 'tiredness', 'nausea', 'diarrhea', 'stomach pain', 'abnormal dreams', 'dizziness', 'fever', 'rash', 'itching', 'peeling of the skin', 'blistering of the skin', 'blisters of the skin', 'mouth sores', 'red eyes', 'swollen eyes']",Doravirine
Elafibranor,"['diarrhea', 'stomach pain', 'nausea', 'vomiting', 'constipation', 'heartburn', 'weight loss', 'weight gain', 'dry mouth', 'joint pain', 'fever', 'chills', 'weakness', 'lightheadedness', 'yellowing of the skin', 'yellowing of the eyes', 'pain in the upper right part of the stomach', 'new or worsening fatigue', 'loss of appetite', 'swelling of legs', 'swelling of feet', 'swelling in and around the stomach area', 'black stools', 'tarry stools', 'bloody stools', 'coughing up blood', 'vomiting blood', 'confusion', 'slurred speech', 'anxiety', 'mood swings', 'changes in personality', 'rash', 'itching', 'swelling of the face', 'swelling of the eyes', 'swelling of the mouth', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'difficulty breathing', 'difficulty swallowing', 'dark-colored urine', 'unexplained muscle pain', 'unexplained muscle tenderness', 'unexplained muscle weakness', 'tiredness', 'fracture of the bone', 'severe bone pain']",Elafibranor
Dofetilide,"['headache', 'chest pain', 'shortness of breath', 'nausea', 'flu-like symptoms', 'stomach pain', 'back pain', 'difficulty falling asleep', 'difficulty staying asleep', 'fast heartbeat', 'pounding heartbeat', 'irregular heartbeat', 'rash', 'severe diarrhea', 'dizziness', 'fainting', 'unusual sweating', 'vomiting', 'loss of appetite', 'increased thirst']",Dofetilide
Olanzapine,"['restlessness', 'unusual behavior', 'depression', 'difficulty falling asleep', 'difficulty staying asleep', 'weakness', 'constipation', 'increased appetite', 'weight gain', 'dry mouth', 'pain in arms', 'pain in legs', 'pain in back', 'pain in joints', 'breast enlargement', 'breast discharge', 'late menstrual periods', 'missed menstrual periods', 'decreased sexual ability', 'seizures', 'changes in vision', 'swelling of the arms', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'unusual movements of your face that you cannot control', 'unusual movements of your body that you cannot control', 'problems with coordination', 'increased falls', 'sore throat', 'fever', 'chills', 'signs of infection', 'stiff muscles', 'sweating', 'confusion', 'fast heartbeat', 'pounding heartbeat', 'irregular heartbeat', 'rash', 'swollen glands', 'swelling of the face', 'hives', 'skin redness', 'skin peeling', 'difficulty breathing', 'difficulty swallowing']",Olanzapine
Diclofenac,"['diarrhea', 'constipation', 'gas', 'bloating', 'headache', 'dizziness', 'ringing in the ears', 'unexplained weight gain', 'shortness of breath', 'difficulty breathing', 'swelling of the abdomen', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'excessive tiredness', 'lack of energy', 'nausea', 'loss of appetite', 'itching', 'pain in the upper right part of the stomach', 'yellowing of the skin', 'yellowing of the eyes', 'flu-like symptoms', 'fever', 'blisters', 'rash', 'hives', 'swelling of the eyes', 'swelling of the face', 'swelling of the tongue', 'swelling of the lips', 'swelling of the throat', 'swelling of the arms', 'swelling of the hands', 'difficulty breathing', 'difficulty swallowing', 'hoarseness', 'pale skin', 'fast heartbeat', 'cloudy urine', 'discolored urine', 'bloody urine', 'back pain', 'difficult urination', 'painful urination']",Diclofenac
Warfarin,"['gas', 'bloating', 'abdominal pain', 'change in the way things taste', 'loss of hair', 'feeling cold', 'having chills', 'hives', 'rash', 'itching', 'difficulty breathing', 'difficulty swallowing', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'hoarseness', 'chest pain', 'chest pressure', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'fever', 'infection', 'nausea', 'vomiting', 'diarrhea', 'extreme tiredness', 'loss of energy', 'loss of appetite', 'pain in the upper right part of the stomach', 'yellowing of the skin', 'yellowing of the eyes', 'flu-like symptoms']",Warfarin
Griseofulvin,"['headache', 'upset stomach', 'vomiting', 'diarrhea', 'loose stools', 'thirst', 'fatigue', 'dizziness', 'faintness', 'fever', 'sore throat', 'skin rash', 'mouth soreness', 'mouth irritation']",Griseofulvin
Hydrocortisone,"['nausea', 'headache', 'insomnia', 'acne', 'irregular menstrual periods', 'absent menstrual periods', 'rash', 'hives', 'itching', 'swelling of the eyes', 'swelling of the face', 'swelling of the lips', 'swelling of the mouth', 'swelling of the throat', 'swelling of the tongue', 'difficulty breathing', 'difficulty swallowing', 'vomiting', 'diarrhea', 'sudden weight gain', 'muscle weakness', 'unusual bruising', 'swollen face', 'swollen lower legs', 'swollen ankles', 'depression', 'sudden mood changes', 'unusual mood changes', 'hallucinations', 'confusion', 'mania', 'eye pain', 'eye redness', 'eye tearing', 'blurred vision', 'vision problems', 'sore throat', 'fever', 'chills', 'cough', 'stomach pain', 'difficult urination', 'painful urination', 'signs of infection', 'seizures']",Hydrocortisone
Retapamulin,"['irritation at the place where you applied the ointment', 'blisters', 'burning', 'redness', 'swelling', 'oozing from the place where you applied the ointment', 'itching', 'diarrhea', 'headache']",Retapamulin
Tolterodine,"['dry mouth', 'dry eyes', 'dry skin', 'headache', 'constipation', 'abdominal pain', 'excessive tiredness', 'difficulty emptying the bladder', 'painful urination', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'difficulty swallowing', 'difficulty breathing']",Tolterodine
Desloratadine,"['headache', 'nausea', 'diarrhea', 'dizziness', 'sore throat', 'dry mouth', 'muscle pain', 'tiredness', 'sleepiness', 'rash', 'itching', 'hives', 'difficulty breathing', 'difficulty swallowing', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs']",Desloratadine
Lorlatinib,"['weight gain', 'muscle pain', 'joint pain', 'back pain', 'diarrhea', 'constipation', 'nausea', 'vomiting', 'tiredness', 'headache', 'vision changes', 'rash', 'itching', 'swelling in your arms', 'swelling in your legs', 'swelling in your hands', 'swelling in your feet', 'difficulty breathing', 'shortness of breath', 'cough', 'fever', 'numbness in your joints', 'numbness in your arms', 'numbness in your legs', 'tingling feeling in your joints', 'tingling feeling in your arms', 'tingling feeling in your legs', 'difficulty thinking', 'confusion', 'seizures', 'seeing things that do not exist', 'hearing voices that do not exist', 'changes in mood', 'feeling sad', 'feeling anxious', 'problems with speech', 'difficulty falling asleep', 'difficulty staying asleep', 'unusual dreams', 'nightmares', 'headache', 'dizziness', 'blurred vision', 'feeling faint', 'chest pain', 'shortness of breath', 'feeling more hungry than usual', 'feeling more thirsty than usual', 'increased urination', 'extreme tiredness', 'weakness', 'confusion', 'breath that smells fruity']",Lorlatinib
Trofinetide,"['vomiting', 'decreased appetite', 'fever', 'runny nose', 'sore throat', 'unusual tiredness', 'unusual weakness', 'anxiety', 'coughing after vomiting', 'choking after vomiting', 'shortness of breath after vomiting', 'chest pain after vomiting', 'fever after vomiting', 'seizures']",Trofinetide
Protriptyline,"['nausea', 'vomiting', 'diarrhea', 'loss of appetite', 'weight changes', 'unusual taste in the mouth', 'stomach pain', 'stomach cramps', 'heartburn', 'dry mouth', 'constipation', 'drowsiness', 'dizziness', 'nightmares', 'headaches', 'frequent urination', 'frequent urination at night', 'difficulty urinating', 'wide pupils', 'changes in sex drive', 'changes in sex ability', 'breast enlargement in men', 'breast enlargement in women', 'unsteadiness', 'ringing in ears', 'hair loss', 'flushing', 'sweating', 'black tongue', 'slow speech', 'difficult speech', 'weakness of an arm', 'weakness of a leg', 'numbness of an arm', 'numbness of a leg', 'crushing chest pain', 'rapid heartbeat', 'pounding heartbeat', 'irregular heartbeat', 'rash', 'hives', 'itching', 'swelling of the face', 'swelling of the tongue', 'yellowing of the skin', 'yellowing of the eyes', 'jaw muscle spasms', 'neck muscle spasms', 'back muscle spasms', 'uncontrollable shaking of a part of the body', 'fainting', 'difficulty walking', 'unusual bleeding', 'unusual bruising', 'seizures', 'confusion', 'hallucination', 'believing things that are not true', 'fever', 'pain in the hands', 'pain in the feet', 'burning in the hands', 'burning in the feet', 'tingling in the hands', 'tingling in the feet']",Protriptyline
Febuxostat,"['nausea', 'joint pain', 'rash', 'skin redness', 'skin pain', 'blistering of lips', 'blistering of eyes', 'blistering of mouth', 'skin peeling', 'fever', 'flu-like symptoms', 'swollen face', 'swollen lips', 'swollen mouth', 'swollen tongue', 'swollen throat', 'yellow eyes', 'yellow skin', 'dark urine', 'pain in right upper stomach area', 'discomfort in right upper stomach area']",Febuxostat
Crofelemer,"['runny nose', 'sneezing', 'cough', 'tiredness', 'fever', 'chills', 'cough with mucus', 'chest tightness', 'gas', 'nausea', 'swelling of the abdomen', 'hemorrhoids', 'back pain', 'joint pain', 'difficult urination', 'painful urination', 'frequent urination', 'urine that is cloudy', 'urine that is discolored', 'pressure in the lower abdomen', 'anxiety']",Crofelemer
Lemborexant,"['drowsiness', 'tiredness', 'headache', 'vivid dreams', 'unusual dreams', 'nightmares', 'temporary inability to move while going to sleep', 'temporary inability to move while waking up', 'temporary inability to talk while going to sleep', 'temporary inability to talk while waking up', 'sleep paralysis', 'sudden weakness of legs', 'temporary weakness of legs', 'new depression', 'worsening depression', 'new anxiety', 'worsening anxiety', 'thoughts of suicide', 'thoughts of dying', 'thoughts of hurting yourself', 'planning to hurt yourself', 'trying to hurt yourself', 'sudden onset of muscle weakness', 'pounding heartbeat']",Lemborexant
Metformin,"['diarrhea', 'nausea', 'stomach discomfort', 'gas', 'indigestion', 'constipation', 'lack of energy', 'weakness', 'change in sense of taste', 'headache', 'flushing of the skin', 'nail changes', 'muscle pain', 'rash', 'chest pain']",Metformin
Cyproheptadine,"['dry mouth', 'dry nose', 'dry throat', 'drowsiness', 'dizziness', 'nausea', 'chest congestion', 'headache', 'excitement', 'nervousness', 'muscle weakness', 'difficulty urinating', 'vision problems']",Cyproheptadine
Cefditoren,"['diarrhea', 'nausea', 'vomiting', 'stomach pain', 'heartburn', 'headache', 'swelling of the vagina', 'redness of the vagina', 'irritation of the vagina', 'burning of the vagina', 'itching of the vagina', 'white vaginal discharge', 'watery stools', 'bloody stools', 'stomach cramps', 'fever during treatment', 'fever up to two or more months after stopping treatment', 'hives', 'rash', 'itching', 'difficulty breathing', 'difficulty swallowing', 'closing of the throat', 'return of fever', 'sore throat', 'chills', 'signs of infection']",Cefditoren
Ambrisentan,"['flushing', 'pale skin', 'fast heartbeat', 'headache', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'swelling of the hands', 'swelling of the feet', 'swelling of the ankles', 'swelling of the lower legs', 'hoarseness', 'difficulty swallowing', 'difficulty breathing', 'rash', 'unusual weight gain', 'extreme tiredness', 'loss of appetite', 'lack of energy', 'nausea', 'vomiting', 'pain in the upper right stomach area', 'yellowing of the skin', 'yellowing of the eyes', 'flu-like symptoms', 'itching', 'dark colored urine']",Ambrisentan
Lefamulin,"['diarrhea', 'nausea', 'vomiting', 'severe diarrhea', 'watery stools', 'bloody stools', 'fever', 'stomach cramps']",Lefamulin
Amlexanox,"['slight pain of the skin that comes and goes', 'stinging of the skin that comes and goes', 'burning of the skin that comes and goes', 'nausea', 'diarrhea', 'rash']",Amlexanox
Mobocertinib,"['nausea', 'vomiting', 'mouth sores', 'decreased appetite', 'weight loss', 'stomach pain', 'heartburn', 'rash', 'dry skin', 'itching', 'red eyes', 'itchy eyes', 'irritated eyes', 'blurry vision', 'hair loss', 'nail infection', 'tiredness', 'muscle pain', 'bone pain', 'fatigue', 'runny nose', 'headache', 'diarrhea', 'cough', 'fever', 'shortness of breath', 'chest pain', 'swelling of your ankles', 'swelling of your feet']",Mobocertinib
Sunvozertinib,"['decreased appetite', 'mouth sores', 'feeling tired', 'itchy skin', 'dry skin', 'infection around the skin', 'infection around the nail', 'constipation', 'muscle pain', 'joint pain', 'abdominal pain', 'decreased weight', 'shortness of breath', 'trouble breathing', 'cough', 'fever', 'diarrhea', 'nausea', 'vomiting', 'rash', 'acne', 'pain urinating', 'difficulty urinating', 'fever', 'lower back pain']",Sunvozertinib
Eliglustat,"['fatigue', 'weakness', 'joint pain', 'headache', 'migraine', 'nausea', 'heartburn', 'gas', 'mouth pain', 'throat pain', 'diarrhea', 'back pain', 'pain in legs', 'pain in arms', 'stomach pain', 'cough', 'rash', 'heart palpitations', 'dizziness', 'fainting']",Eliglustat
Pioglitazone,"['headache', 'muscle pain', 'pain in the arms', 'pain in the legs', 'sore throat', 'gas', 'changes in vision', 'vision loss', 'frequent urination', 'painful urination', 'difficult urination', 'cloudy urine', 'discolored urine', 'bloody urine', 'back pain', 'stomach pain']",Pioglitazone
Propranolol,"['dizziness', 'lightheadedness', 'tiredness', 'diarrhea', 'constipation', 'rash', 'itching', 'hives', 'blistering skin', 'peeling skin', 'difficulty breathing', 'difficulty swallowing', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'feeling faint', 'unusual weight gain', 'shortness of breath', 'irregular heartbeat']",Propranolol
Itraconazole,"['nausea', 'vomiting', 'diarrhea', 'constipation', 'stomach pain', 'unpleasant taste', 'headache', 'joint pain', 'muscle pain', 'joint weakness', 'muscle weakness', 'decreased sexual desire', 'inability to get an erection', 'inability to keep an erection', 'hair loss', 'excessive tiredness', 'loss of appetite', 'nausea', 'vomiting', 'yellowing of the skin', 'yellowing of the eyes', 'dark urine', 'pale stools', 'feelings of numbness on the skin', 'feelings of tingling on the skin', 'feelings of pricking on the skin', 'feelings of burning on the skin', 'feelings of creeping on the skin', 'changes in hearing', 'hearing loss', 'blistering skin', 'peeling skin', 'rash', 'hives', 'itching', 'swelling of the face', 'swelling of the throat', 'swelling of the tongue', 'swelling of the lips', 'swelling of the eyes', 'swelling of the hands', 'swelling of the ankles', 'swelling of the lower legs', 'hoarseness', 'difficulty breathing', 'difficulty swallowing', 'headaches', 'blurred vision', 'chest pain', 'dizziness', 'anxiety', 'muscle weakness', 'muscle spasms', 'muscle cramping', 'palpitations', 'feeling like heart is skipping beats', 'constipation', 'tingling', 'numbness']",Itraconazole
Lumateperone,"['extreme tiredness', 'fatigue', 'weight gain', 'nausea', 'dry mouth', 'dizziness', 'rash', 'hives', 'itching', 'problems with coordination', 'increased falls', 'unusual movements of your face that you cannot control', 'unusual movements of your body that you cannot control', 'sore throat', 'fever', 'chills', 'signs of infection', 'fever', 'stiff muscles', 'sweating', 'confusion', 'fast heartbeat', 'pounding heartbeat', 'irregular heartbeat', 'tightening of neck muscles', 'tightening of throat', 'difficulty breathing', 'difficulty swallowing', 'seizures']",Lumateperone
