name,pharmacodynamics
Metformin,**General effects**Insulin is an important hormone that regulates blood glucose levels.[T514] Type II diabetes is characterized by a decrease in sensitivity to insulin resulting in elevations in blood glucose when the pancreas can no longer compensate. In patients diagnosed with type 2 diabetes insulin is unable to exert adequate effects on tissues and cells (i.e. insulin resistance)[T514] and insulin deficiency may also be present.[L5753]Metformin reduces hepatic production of glucose decreases the intestinal absorption of glucose and enhances insulin sensitivity by increasing both peripheral glucose uptake and utilization. In contrast with drugs of the sulfonylurea class which lead to hyperinsulinemia the secretion of insulin is unchanged with metformin use.[L12207]**Effect on fasting plasma glucose (FPG) and Glycosylated hemoglobin (HbA1c)**HbA1c is an important periodic measure of glycemic control used to monitor diabetic patients. Fasting plasma glucose is also a useful and important measure of glycemic control. In a 29-week clinical trial of subjects diagnosed with type II diabetes metformin decreased the fasting plasma glucose levels by an average of 59 mg/dL from baseline compared to an average increase of 6.3 mg/dL from baseline in subjects taking a placebo.[L12207]  Glycosylated hemoglobin (HbA1c) was decreased by about 1.4% in subjects receiving metformin and increased by 0.4% in subjects receiving placebo only.[L12207]
Doxylamine,Doxylamine is an antihistamine commonly used as a sleep aid. This drug is also used to relieve symptoms of hay fever (allergic rhinitis) hives (rash or itching) and other allergic reactions. Doxylamine is a member of the ethanolamine class of antihistamines and has anti-allergy power far superior to virtually every other antihistamine on the market with the exception of diphenhydramine (Benadryl). It is also the most powerful over-the-counter sedative available in the United States and more sedating than many prescription hypnotics. In a study it was found to be superior to even the barbiturate phenobarbital for use as a sedative. Doxylamine is also a potent anticholinergic.
Phenylephrine,Phenylephrine is an alpha-1 adrenergic agonist that raises blood pressure[L9416L9410] dilates the pupils[L9413] and causes local vasoconstriction.[A187370] Ophthalmic formulations of phenylephrine act for 3-8 hours[L9413] while intravenous solutions have an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379L9416] Patients taking ophthalmic formulations of phenylephrine should be counselled about the risk of arrhythmia hypertension and rebound miosis.[L9413] Patients taking an intravenous formulation should be counselled regarding the risk of bradycardia allergic reactions extravasation causing necrosis or tissue sloughing and the concomitant use of oxytocic drugs.[L9416L9410]
Spironolactone,Spironolactone has a potassium-sparing diuretic effect. It promotes sodium and water excretion and potassium retention. It increases renin and aldosterone levels.[A11837] Spironolactone is a mineralocorticoid receptor antagonist and has a low affinity for the glucocorticoid receptor.[A11834] It also exhibits progestogenic and anti-androgenic actions as it binds to the androgen receptor and to a lesser extent estrogen and progesterone receptors.[A11837 A178192 A261025] Spironolactone exhibits anti-inflammatory effects.[A178192]
Methylphenidate,Methylphenidate is a racemic mixture comprised of the d- and l-isomers. The d-isomer is more pharmacologically active than the l-isomer. Radioligand binding studies demonstrate that binding of methylphenidate in the brain is localized to dopamine-rich areas in particular in the prefrontal cortex which has been demonstrated to play a prominent role in ADHD pathophysiology.[A177547] In a number of animal models methylphenidate enhances locomotor activity and induces stereotypic behaviours. 
Dipivefrin,Dipivefrin is a member of a class of drugs known as prodrugs. Prodrugs are usually not active in themselves and require biotransformation to the parent compound before therapeutic activity is seen. These modifications are undertaken to enhance absorption decrease side effects and enhance stability and comfort thus making the parent compound a more useful drug. Enhanced absorption makes the prodrug a more efficient delivery system for the parent drug because less drug will be needed to produce the desired therapeutic response. Dipivefrin is a prodrug of epinephrine formed by the diesterification of epinephrine and pivalic acid. The addition of pivaloyl groups to the epinephrine molecule enhances its lipophilic character and as a consequence its penetration into the anterior chamber.
Loratadine,Like other 2nd generation antihistamines loratadine is selective for peripheral H1 receptors.[A5506] Loratadine does not penetrate effectively into the central nervous system and has poor affinity for CNS H1-receptors.[A5506] These qualities result in a lack of CNS depressant effects such as drowsiness sedation and impaired psychomotor function.[A5506]
Acitretin,Acitretin is a retinoid. Retinoids have a structure similar to vitamin A and are involved in the normal growth of skin cells. Acitretin works by inhibiting the excessive cell growth and keratinisation (process by which skin cells become thickened due to the deposition of a protein within them) seen in psoriasis. It therefore reduces the thickening of the skin plaque formation and scaling.
Ketorolac,Ketorolac is a non-selective NSAID and acts by inhibiting both COX-1 and COX-2 enzymes which are normally responsible for converting arachidonic acid to prostaglandins. The COX-1 enzyme is constitutively active and can be found in platelets gastric mucosa and vascular endothelium. On the other hand the COX-2 enzyme is inducible and mediates inflammation pain and fever.  As a result inhibition of the COX-1 enzyme is linked to an increased risk of bleeding and risk of gastric ulceration while the desired anti-inflammatory and analgesic properties are linked to inhibition of the COX-2 enzyme.[A176134] Therefore despite it's effectiveness in pain management ketorolac should not be used long-term since this increases the risk of serious adverse effects such as gastrointestinal bleeding peptic ulcers and perforations.[A178678]
Chlordiazepoxide,"Chlordiazepoxide has antianxiety sedative appetite-stimulating and weak analgesic actions. The drug seems to block EEG arousal from stimulation in the brain stem reticular formation. The drug has been studied extensively in many species of animals and these studies are suggestive of action on the limbic system of the brain which recent evidence indicates is involved in emotional responses. Hostile monkeys were made tame by oral drug doses which did not cause sedation. Chlordiazepoxide revealed a ""taming"" action with the elimination of fear and aggression. The taming effect of chlordiazepoxide was further demonstrated in rats made vicious by lesions in the septal area of the brain. The drug dosage which effectively blocked the vicious reaction was well below the dose which caused sedation in these animals."
Albendazole,Albendazole is a broad-spectrum anthelmintic. The principal mode of action for albendazole is by its inhibitory effect on tubulin polymerization which results in the loss of cytoplasmic microtubules.
Tolnaftate,Tolnaftate is a synthetic over-the-counter anti-fungal agent.
Zafirlukast,Zafirlukast is a synthetic selective peptide leukotriene receptor antagonist (LTRA) indicated for the prophylaxis and chronic treatment of asthma. Patients with asthma were found in one study to be 25-100 times more sensitive to the bronchoconstricting activity of inhaled LTD<sub>4</sub> than nonasthmatic subjects. <i>In vitro</i> studies demonstrated that zafirlukast antagonized the contractile activity of three leukotrienes (LTC<sub>4</sub> LTD<sub>4</sub> and LTE<sub>4</sub>) in conducting airway smooth muscle from laboratory animals and humans. Zafirlukast prevented intradermal LTD<sub>4</sub>-induced increases in cutaneous vascular permeability and inhibited inhaled LTD<sub>4</sub>-induced influx of eosinophils into animal lungs.
Methotrexate,Methotrexate inhibits enzymes responsible for nucleotide synthesis which prevents cell division and leads to anti-inflammatory actions.[A180322] It has a long duration of action and is generally given to patients once weekly.[A180322L7144L7147L7150] Methotrexate has a narrow therapeutic index.[A180325]Do not take methotrexate daily.[L7147L7150]
Acamprosate,Acamprosate acts on the CNS aiding in the restoration of normal glutaminergic neuron activity.[A993] Pharmacodynamic studies have shown that acamprosate calcium reduces alcohol intake in alcohol-dependent individuals likely through effects on NMDA receptors and calcium channels.[A229038]   It is a safe and well-tolerated drug for patients with alcohol dependency and improves the likelihood of alcohol abstinence.[A993L31758] 
Imiquimod,Imiquimod is an immune response modifier that acts as a toll-like receptor 7 agonist. Imiquimod is commonly used topically to treat warts on the skin of the genital and anal areas. Imiquimod does not cure warts and new warts may appear during treatment. Imiquimod does not fight the viruses that cause warts directly however it does help to relieve and control wart production. It is not used on warts inside the vagina penis or rectum. Imiquimod is also used to treat a skin condition of the face and scalp called actinic keratoses. Imiquimod can also be used to treat certain types of skin cancer called superficial basal cell carcinoma. Imiquimod is particularly useful on areas where surgery or other treatments may be difficult complicated or otherwise undesirable especially the face and lower legs.
Hydrocortisone,Hydrocortisone binds to the glucocorticoid receptor leading to downstream effects such as inhibition of phospholipase A2 NF-kappa B other inflammatory transcription factors and the promotion of anti-inflammatory genes.[A187463] Hydrocortisone has a wide therapeutic index[A188405] and a moderate duration of action.[A188354A188381] Patients should stop taking the medication if irritation or sensitization occurs.[L10529L10532L10535L10538L7772L7321]
Tetracycline,Tetracycline is a short-acting antibiotic that  inhibits bacterial growth by inhibiting translation. It binds to the 30S ribosomal subunit and prevents the amino-acyl tRNA from binding to the A site of the ribosome. It also binds to some extent to the 50S ribosomal subunit. This binding is reversible in nature. Additionally tetracycline may alter the cytoplasmic membrane of bacteria causing leakage of intracellular contents such as nucleotides from the cell. 
Acyclovir,Acyclovir is a deoxynucleoside analog that inhibits the action of viral DNA polymerase and DNA replication of different herpesvirus.[L7303L7315L7318L7321L7324L7327] Acyclovir has a wide therapeutic window as overdose is rare in otherwise healthy patients.[L7315]
Naproxen,Naproxen is an established non-selective NSAID and is useful as an analgesic anti-inflammatory and antipyretic.[A179098] Similar to other NSAIDs the pharmacological activity of naproxen can be attributed to the inhibition of cyclo-oxygenase which in turn reduces prostaglandin synthesis in various tissues and fluids including the synovial fluid gastric mucosa and the blood.[A179098] Although naproxen is an effective analgesic it can have unintended deleterious effects in the patient. For instance naproxen can adversely affect blood pressure control.[A179224] A study found that use of naproxen induced an increase in blood pressure although the increase was not as significant as that found with ibuprofen use.[A179224]Further studies have found that the risk of upper gastrointestinal bleeding is on average four-fold higher for individuals taking NSAIDs.[A179227] Other factors that increase the risk of upper gastrointestinal bleeding include concurrent use of corticosteroids or anticoagulants and a history of gastrointestinal ulcers.[A179227]
Perindopril,-1
Fentanyl,Fentanyl produces strong analgesia through its activation of opioid receptors.[LabelA179533] It has a duration of action of several hours and a wider therapeutic index as patients develop tolerance to opioids.[Label] Fentanyl is associated with a risk of addiction and abuse and should not be mixed with alcohol or benzodiazepines.[LabelL6598L6601L6604L6607L922L6610L6613]
Acetazolamide,Acetazolamide is a potent carbonic anhydrase inhibitor effective in the control of fluid secretion in the treatment of certain convulsive disorders and in the promotion of diuresis in instances of abnormal fluid retention. Acetazolamide is not a mercurial diuretic. Rather it is a nonbacteriostatic sulfonamide possessing a chemical structure and pharmacological activity distinctly different from the bacteriostatic sulfonamides.
Tadalafil,-1
Brompheniramine,Brompheniramine is an antihistaminergic medication of the propylamine class. It is a first-generation antihistamine. In allergic reactions an allergen interacts with and cross-links surface IgE antibodies on mast cells and basophils. Once the mast cell-antibody-antigen complex is formed a complex series of events occurs that eventually leads to cell-degranulation and the release of histamine (and other chemical mediators) from the mast cell or basophil. Once released histamine can react with local or widespread tissues through histamine receptors. Histamine acting on H<sub>1</sub>-receptors produces pruritis vasodilatation hypotension flushing headache tachycardia and bronchoconstriction. Histamine also increases vascular permeability and potentiates pain. Brompheniramine is a histamine H1 antagonist (or more correctly an inverse histamine agonist) of the alkylamine class. It provides effective temporary relief of sneezing watery and itchy eyes and runny nose due to hay fever and other upper respiratory allergies.
Pseudoephedrine,Pseudoephedrine causes vasoconstriction which leads to a decongestant effect.[A188823L11031L11037L11040L11046L11052L11058L11061] It has a short duration of action unless formulated as an extended release product.[L11031L11037L11040L11046L11052L11058L11061] Patients should be counselled regarding the risk of central nervous system stimulation.[L11031L11040L11058L11061]
Prednisolone,Corticosteroids bind to the glucocorticoid receptor inhibiting pro-inflammatory signals and promoting anti-inflammatory signals.[A187463] Prednisolone has a short duration of action as the half life is 2.1-3.5 hours.[A187394] Corticosteroids have a wide therapeutic window as patients make require doses that are multiples of what the body naturally produces.[A187463] Patients taking corticosteroids should be counselled regarding the risk of hypothalamic-pituitary-adrenal axis suppression and increased susceptibility to infections.[A187463]
Guaifenesin,Guaifenesin is categorized as an expectorant that acts by enhancing the output of phlegm (sputum) and bronchial secretions via decreasing the adhesiveness and surface tension of such material [F4516]. Furthermore guaifenesin elicits an increased flow of less viscous gastric secretions that subsequently promote ciliary action - all actions that ultimately change dry unproductive coughing to coughs that are more productive and less frequent [F4516]. Essentially by decreasing the viscosity and adhesiveness of such secretions guaifenesin enhances the efficacy of mucociliary activity in removing accumulated secretions from the upper and lower airway [F4516].
Quinapril,Quinapril is a prodrug of an angiotensin converting enzyme (ACE) inhibitor used in the treatment of hypertension or adjunct in the treatment of heart failure.[A1329A1331L8420] Quinapril has a wide therapeutic window and a long duration of action as it is given in doses of 10-80mg once daily.[L8420]
Amantadine,Amantadine is an antiviral drug which also acts as an antiparkinson agent for which it is usually combined with L-DOPA when L-DOPA responses decline (probably due to tolerance). It is a derivate of adamantane like a similar drug rimantadine. The mechanism of action of amantadine in the treatment of Parkinson's disease and drug-induced extrapyramidal reactions is not known. It has been shown to cause an increase in dopamine release in the animal brain and does not possess anticholinergic activity.
Salicylic acid,Salicylic acid treats acne by causing skin cells to slough off more readily preventing pores from clogging up. This effect on skin cells also makes salicylic acid an active ingredient in several shampoos meant to treat dandruff. Use of straight salicylic solution may cause hyperpigmentation on unpretreated skin for those with darker skin types (Fitzpatrick phototypes IV V VI) as well as with the lack of use of a broad spectrum sunblock. Subsalicylate in combination with bismuth form the popular stomach relief aid known commonly as Pepto-Bismol. When combined the two key ingredients help control diarrhea nausea heartburn and even gas. It is also very mildly anti-biotic.
Salmeterol,Salmeterol is a long acting beta-2 adrenergic receptor agonist that binds to both the active and exo sites of the beta-2 adrenergic receptor.[A183737] Salmeterol has a longer duration of action than other beta-2 agonists like [salbutamol].[A190459] Patients should be counselled regarding the risks of long acting beta agonist (LABA) monotherapy hypokalemia hypoglycemia and not to take this drug with another LABA.[L11545L11548L11551L11554L11557]
Methylprednisolone,Corticosteroids bind to the glucocorticoid receptor inhibiting pro-inflammatory signals and promoting anti-inflammatory signals.[A187463] Corticosteroids have a wide therapeutic window as patients may require doses that are multiples of what the body naturally produces.[A187463] Patients taking corticosteroids should be counselled regarding the risk of hypothalamic-pituitary-adrenal axis suppression and increased susceptibility to infections.[A187463]
Methyldopa,Antihypertensive effects of methyldopa are mostly mediated by its pharmacologically active metabolite alpha-methylnorepinephrine which works as an agonist at central inhibitory alpha-adrenergic receptors.[L32614] Stimulation of alpha-adrenergic receptors leads to decreased peripheral sympathetic tone and reduced arterial pressure.[A1505] Methyldopa causes a net reduction in the tissue concentration of serotonin dopamine norepinephrine and epinephrine. Overall methyldopa lowers both standing blood pressure and especially supine blood pressure with infrequent symptomatic postural hypotension. Methyldopa also reduces plasma renin activity but has negligible effects on glomerular filtration rate renal blood flow or filtration fraction. It also has no direct effect on cardiac function but in some patients a slowed heart rate may occur.[L32614]Following oral administration blood-pressure-lowering effects are observed within 12 to 24 hours in most patients and a maximum reduction in blood pressure occurs in 4 to 6 hours. Blood pressure returns to pre-treatment levels within 24 to 48 hours following drug discontinuation.[L32614] Following intravenous administration the blood-pressure-lowering effects of methyldopa last for about 10 to 16 hours.[A231784]
Dactinomycin,Generally the actinomycins exert an inhibitory effect on gram-positive and gram-negative bacteria and on some fungi. However the toxic properties of the actinomycins (including dactinomycin) in relation to antibacterial activity are such as to preclude their use as antibiotics in the treatment of infectious diseases. Because the actinomycins are cytotoxic they have an antineoplastic effect which has been demonstrated in experimental animals with various types of tumor implant. This cytotoxic action is the basis for their use in the treatment of certain types of cancer. Dactinomycin is believed to produce its cytotoxic effects by binding DNA and inhibiting RNA synthesis.
Cyclopentolate,-1
Isotretinoin,The pharmacodynamics of isotretinoin are poorly understood.[Label]
Doxorubicin,Doxorubicin is a cytotoxic cell-cycle non-specific anthracycline antibiotic.[A1574A257674] It is generally thought to exert its antitumor effect by destabilizing DNA structures through intercalation thus introducing DNA strand breakages and damages.[A257664A18538A257674] Not only does it alter the transcriptomes of the cells failure in repairing DNA structures can also initiate the apoptotic pathways.[A257674A257679] Additionally doxorubicin intercalation can also interfere with vital enzyme activity such as topoisomerase II DNA polymerase and RNA polymerase leading to cell cycle arrests.[A257674] Finally doxorubicin can also generate cytotoxic reactive oxygen species to exert cellular damages.[A257584]
Hydrochlorothiazide,Hydrochlorothiazide prevents the reabsorption of sodium and water from the distal convoluted tubule allowing for the increased elimination of water in the urine.[A185138A185180A16730L8447L8450] Hydrochlorothiazide has a wide therapeutic window as dosing is individualized and can range from 25-100mg.[L8447L8450] Hydrochlorothiazide should be used with caution in patients with reduced kidney or liver function.[L8447L8450]
Albuterol,Salbutamol (INN) or albuterol (USAN) a moderately selective beta(2)-receptor agonist similar in structure to terbutaline is widely used as a bronchodilator to manage asthma and other chronic obstructive airway diseases.[LabelF3265F3268] The R-isomer levalbuterol is responsible for bronchodilation while the S-isomer increases bronchial reactivity.[A174400] The R-enantiomer is available and sold in its pure form as levalbuterol and subsequently may produce fewer side-effects with only the R-enantiomer present - although this has not been formally demonstrated.[A174400]After oral and parenteral administration stimulation of the beta receptors in the body both beta-1 and beta-2 occurs because (a) beta-2 selectivity is not absolute and (b) higher concentrations of salbutamol occur in the regions of these receptors with these modes of administration.[LabelF3265F3268] This results in the beta-1 effect of cardiac stimulation though not so much as with isoprenaline and beta-2 effects of peripheral vasodilatation and hypotension skeletal muscle tremor and uterine muscle relaxation.[LabelF3265F3268]Metabolic effects such as hyperinsulinemia and hyperglycemia also may occur although it is not known whether these effects are mediated by beta-1 or beta-2 receptors.[LabelF3265F3268] The serum potassium levels have a tendency to fall.[F3265]
Abacavir,Abacavir is a nucleoside reverse transcriptase inhibitor (NRTI) with activity against Human Immunodeficiency Virus Type 1 (HIV-1). Abacavir is phosphorylated to active metabolites that compete for incorporation into viral DNA. They inhibit the HIV reverse transcriptase enzyme competitively and act as a chain terminator of DNA synthesis. The concentration of drug necessary to effect viral replication by 50 percent (EC50) ranged from 3.7 to 5.8 μM (1 μM = 0.28 mcg/mL) and 0.07 to 1.0 μM against HIV-1IIIB and HIV-1BaL respectively and was 0.26 ± 0.18 μM against 8 clinical isolates.  Abacavir had synergistic activity in cell culture in combination with the nucleoside reverse transcriptase inhibitor (NRTI) zidovudine the non-nucleoside reverse transcriptase inhibitor (NNRTI) nevirapine and the protease inhibitor (PI) amprenavir; and additive activity in combination with the NRTIs didanosine emtricitabine lamivudine stavudine tenofovir and zalcitabine. 
